# Modified from files "genes.fpkm_tracking" and "0_XLOC-LOC_ID_Conversion.txt"
gene_ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
XLOC_001404	13136	987.473	6921.55	777.136
XLOC_001405	3697.75	87.7751	735.3	26.8766
XLOC_001406	4047.2	392.467	3839.5	101.405
XLOC_001408	1928.17	22.1358	396.057	0
XLOC_001409	5684.93	1119.69	6661.48	520.919
XLOC_001410	3184.28	1516.22	2079.84	115.411
XLOC_001411	260.077	9.23378	104.221	10.5484
XLOC_001419	181.426	67.9533	389.517	243.167
XLOC_001449	1105.73	2.02451	36.0017	1.32073
XLOC_001451	944.451	2.35651	0	0
XLOC_001452	145.988	1.62249	4.90568	0
XLOC_001471	239.566	210.422	419.688	383.218
XLOC_001473	418.889	102.964	569.716	213.159
XLOC_001490	175.366	217.741	80.0614	96.9528
XLOC_001500	493.045	387.775	213.049	391.76
XLOC_001504	45065.2	34403.1	55605.3	43042.3
XLOC_001508	126.275	0	29.2681	249.238
XLOC_001509	11.262	0	11.0654	24.5354
XLOC_001529	0	12.0472	38.4617	37.8459
XLOC_001599	2016.8	800.471	1987.46	431.33
XLOC_001611	85.6566	32.2478	185.367	59.5575
XLOC_001626	6.42405	79.9378	0	148.098
XLOC_001635	42.3001	96.0418	60.7277	43.4881
XLOC_001642	893.508	2985.22	1293.8	2305.12
XLOC_001653	400.925	95.0806	445.412	350.366
XLOC_001659	54.3638	20.0929	96.9094	80.5305
XLOC_001668	0	154.399	22.0195	0
XLOC_001678	165.383	48.0902	259.139	0
XLOC_001682	19.4811	8.40986	0	53.8163
XLOC_001685	36.7011	46.8417	53.9651	0
XLOC_001686	11.4251	0	12.2815	57.3698
XLOC_001690	10.0735	0	16.3801	54.0198
XLOC_001700	5140.63	4736.45	1283.66	5231.37
XLOC_001705	24.8983	125.762	27.1554	14.9569
XLOC_001706	0	0	0	434.954
XLOC_001708	37.5825	16.7896	0	159.078
XLOC_001713	0	0	0	112.321
XLOC_001723	121.885	315.693	27.1879	63.1547
XLOC_001732	747.335	843.038	733.991	1225.17
XLOC_001734	2656.73	2087.01	543.168	1379.77
XLOC_001742	84.6567	363.271	159.992	536.343
