ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105330610|XLOC_004077|rho_guanine_nucleotide_exchange_factor_11	104.377	164.187	129.942	94.5376
LOC105330677|XLOC_035266|E3_ubiquitin-protein_ligase_RNF168	46898.9	80248.9	123609	64680.3
LOC105330680|XLOC_035266|zinc_finger_protein_70	46898.9	80248.9	123609	64680.3
LOC105330818|XLOC_038625|uncharacterized	97.3699	76.396	170.019	110.164
LOC105330818|XLOC_038652|uncharacterized	46.0873	122.734	108.907	45.8603
LOC105331209|XLOC_018488|tyrosinase-like_protein_1	292.827	120.351	269.939	172.455
LOC105331293|XLOC_034875|ubiquitin_thioesterase_zranb1-B	319.753	0	171.114	209.995
LOC105331371|XLOC_001471|mothers_against_decapentaplegic_homolog_4	239.566	210.422	419.688	383.218
LOC105331423|XLOC_030557|pancreatic_lipase-related_protein_2	395.5	132.96	311.041	214.012
LOC105331658|XLOC_028825|putative_E3_ubiquitin-protein_ligase_UNKL	458.561	284.947	677.531	347.886
LOC105331658|XLOC_028829|putative_E3_ubiquitin-protein_ligase_UNKL	26.4814	0	40.8664	43.2997
LOC105331789|XLOC_009005|acid_phosphatase_type_7	159.606	444.22	1776.61	291.233
LOC105331820|XLOC_010502|MOG_interacting_and_ectopic_P-granules_protein_1	164.448	167.489	257.629	307.99
LOC105331837|XLOC_019074|peroxidase-like_protein	1078.93	517.382	1569.61	670.243
LOC105331958|XLOC_014858|RNA-binding_protein_5	155.826	119.001	241.145	175.97
LOC105331958|XLOC_014859|RNA-binding_protein_5	509.07	722.6	661.005	488.254
LOC105332024|XLOC_010583|uncharacterized	59.0048	93.3938	66.2284	67.9883
LOC105332024|XLOC_010584|uncharacterized	358.388	546.993	457.154	361.61
LOC105332048|XLOC_010264|ARF_GTPase-activating_protein_GIT2	79.7473	135.108	89.4349	137.692
LOC105332143|XLOC_007721|succinate_dehydrogenase_cytochrome_b560_subunit,_mitochondrial	1732.57	856.586	1728.58	1689.6
LOC105332546|XLOC_030530|zinc_finger_protein_Noc	1073.48	674.313	1675.39	679.951
LOC105332635|XLOC_030348|bone_morphogenetic_protein_receptor_type-1B	62.008	23.2517	147.606	184.953
LOC105332659|XLOC_011601|uncharacterized	69.8486	100.718	55.8246	48.255
LOC105332683|XLOC_033728|membrane_progestin_receptor_beta	115.057	107.555	63.2574	207.53
LOC105333266|XLOC_010097|zinc_finger_MYND_domain-containing_protein_12	446.42	341.256	141.484	137.31
LOC105333266|XLOC_010098|zinc_finger_MYND_domain-containing_protein_12	421.543	292.232	189.417	310.677
LOC105333268|XLOC_012747|zinc_metalloproteinase_nas-14	1115.06	930.719	763.08	272.843
LOC105333268|XLOC_012748|zinc_metalloproteinase_nas-14	346.978	295.908	240.316	141.265
LOC105333651|XLOC_027914|stromal_membrane-associated_protein_1	1200.03	691.109	1305.33	1327.22
LOC105333759|XLOC_010874|rabankyrin-5	901.85	297.626	597.077	1004.33
LOC105334558|XLOC_024076|methionine_aminopeptidase_1D,_mitochondrial	997.59	188.826	668.672	199.307
LOC105334808|XLOC_027756|cysteine-rich_protein_1	621.115	465.531	1228.12	637.035
LOC105334815|XLOC_036239|baculoviral_IAP_repeat-containing_protein_3	80.1824	233.783	477.121	61.3594
LOC105334815|XLOC_036240|baculoviral_IAP_repeat-containing_protein_3	517.686	520.037	1491.86	113.924
